# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.0
#@/tick	2403
#@/user_id	a5e57e08-b0e6-49e9-9b39-b4d5e009ac8f
a 	啊	c=2 d=1.00515 t=1808
hong bao 	洪堡	c=1 d=1 t=2298
hong ye 	紅葉	c=1 d=1 t=2215
hou 	後	c=4 d=1.0105 t=2266
hou dai 	後代	c=2 d=1.97045 t=211
hou fa 	後發	c=1 d=1 t=145
hou san nian 	後三年	c=1 d=1 t=1197
hou tian 	後天	c=4 d=3.68136 t=2020
hou xue xiao 	後學校	c=1 d=1 t=996
hu guang 	湖光	c=1 d=1 t=1351
hu hui 	互惠	c=1 d=1 t=486
hu nan 	湖南	c=2 d=1.99005 t=1279
hu nan da xue 	湖南大學	c=1 d=1 t=1274
hua 	化	c=2 d=1.66365 t=148
hua 	話	c=3 d=1.80434 t=1570
hua ke 	華科	c=3 d=1.41108 t=1292
hua ti 	話題	c=0 d=0.1 t=2301
hua ti liao 	話題聊	c=1 d=1 t=2302
hua zhong 	華中	c=3 d=1.4543 t=1470
hua zhong ke da 	華中科大	c=1 d=1 t=1130
huan gong zuo 	換工作	c=1 d=1 t=1522
huan man 	緩慢	c=1 d=1 t=133
hui 	回	c=1 d=1 t=835
hui 	會	c=23 d=1.31243 t=2372
hui bei 	會被	c=1 d=1 t=1219
hui bu hui 	會不會	c=1 d=1 t=1598
hui fu 	回覆	c=0 d=0.1 t=602
hui fu ba 	回覆吧	c=1 d=1 t=603
hui guo 	回國	c=2 d=1.20291 t=1188
hui jia 	回家	c=1 d=1 t=833
hui lv 	匯率	c=1 d=1 t=1714
hui tou 	回頭	c=1 d=1 t=1698
hui you 	會有	c=1 d=1 t=2273
huo 	或	c=4 d=1.01816 t=2019
huo zhe 	或者	c=2 d=1.04307 t=1642
huo zun 	霍尊	c=1 d=1 t=1719
ji 	即	c=1 d=1 t=1105
ji 	及	c=1 d=1 t=235
ji chu 	基礎	c=1 d=1 t=1449
ji de 	記得	c=0 d=0.1 t=1721
ji de zhi qian 	記得之前	c=1 d=1 t=1722
ji dian 	基點	c=1 d=1 t=2254
ji dian 	幾點	c=1 d=1.01628 t=2396
ji duan 	幾段	c=1 d=1 t=548
ji hua sheng yu 	計劃生育	c=1 d=1 t=176
ji hui 	機會	c=1 d=1 t=1156
ji huo 	激活	c=1 d=1 t=1958
ji jin 	基金	c=1 d=1 t=1194
ji lie 	激烈	c=0 d=0.168729 t=1626
ji mei 	集美	c=0 d=0.1 t=1475
ji mei da xue 	集美大學	c=1 d=1 t=1476
ji nian 	幾年	c=2 d=1.90484 t=1539
ji nian pin 	紀念品	c=3 d=2.97516 t=1975
ji nian qian 	幾年前	c=1 d=1 t=1760
ji nian wu 	紀念物	c=1 d=1 t=1971
ji shi 	即使	c=1 d=1 t=448
ji shi 	既是	c=1 d=1 t=194
ji shu 	技術	c=1 d=1.09656 t=163
ji shu zhuan yi 	技術轉移	c=1 d=1 t=157
ji yu 	基於	c=1 d=1 t=455
jia 	家	c=1 d=1 t=1332
jia ji 	夾擊	c=2 d=1.99005 t=184
jia jin qu 	加進去	c=1 d=1 t=1776
jia ren 	家人	c=1 d=1 t=1338
jia she 	假設	c=3 d=1.93384 t=517
jia ting 	家庭	c=6 d=1.00903 t=1526
jia xiang 	家鄉	c=1 d=1 t=1003
jia zhi 	價值	c=1 d=1 t=2203
jian 	見	c=3 d=1.09476 t=2376
jian ce 	檢測	c=0 d=0.1 t=1986
jian fei 	減肥	c=0 d=0.1 t=1367
jian fei hou 	減肥後	c=1 d=1 t=1368
jian li 	簡歷	c=2 d=1.02375 t=1786
jian mian 	見面	c=2 d=1.0246 t=1378
jian ming 	建明	c=0 d=0.1 t=972
jian qu 	減去	c=1 d=1 t=1102
jian shao 	減少	c=1 d=1 t=308
jian shi 	檢視	c=1 d=1 t=400
jian yi 	建議	c=2 d=1.06367 t=1834
jian yi ci 	見一次	c=1 d=1 t=2366
jiang di 	降低	c=1 d=1 t=174
jiao cheng 	教程	c=1 d=1 t=1970
jiao gei 	交給	c=1 d=1 t=1380
jiao lv 	焦慮	c=1 d=1.0802 t=33
jiao shou 	教授	c=1 d=1 t=1246
jiao tong 	交通	c=2 d=1.47237 t=1058
jiao yu 	教育	c=5 d=3.81495 t=304
jie 	傑	c=0 d=0.1 t=974
jie chu 	接觸	c=0 d=0.1 t=2163
jie gou 	結構	c=2 d=1.98511 t=57
jie guo 	結果	c=1 d=1 t=70
jie jin 	接近	c=1 d=0.100825 t=2227
jie ri 	節日	c=1 d=1 t=584
jie shi 	解釋	c=1 d=1 t=554
jie shou 	接受	c=1 d=1 t=1120
jin 	進	c=1 d=1 t=1418
jin e 	金額	c=1 d=1 t=1109
jin pai 	金牌	c=3 d=2.83258 t=1403
jin qu 	進去	c=1 d=1 t=1815
jin rong 	金融	c=1 d=1 t=730
jin tian 	今天	c=2 d=1.34819 t=891
jin xing 	進行	c=1 d=1 t=281
jin yi bu 	進一步	c=1 d=1 t=2140
jing ji 	經濟	c=5 d=3.20025 t=243
jing ji xian dai 	經濟現代	c=1 d=1 t=147
jing ji xian dai hua 	經濟現代化	c=1 d=1 t=129
jing ye 	敬業	c=1 d=1 t=735
jing zheng 	競爭	c=3 d=1.69195 t=1625
jiu 	就	c=3 d=1.00258 t=2041
jiu chan 	糾纏	c=1 d=0.56687 t=1910
jiu guo qu 	就過去	c=1 d=1 t=2031
jiu ke yi 	就可以	c=1 d=1 t=940
jiu qian 	九千	c=1 d=1 t=1300
jiu shi 	就是	c=2 d=1.57121 t=1873
jiu xing 	就行	c=1 d=1 t=826
ju bao 	舉報	c=1 d=1 t=1940
ju ju 	聚聚	c=1 d=1 t=677
ju li 	距離	c=4 d=2.35669 t=1337
ju ti 	具體	c=2 d=1.56553 t=621
ju xian 	侷限	c=1 d=1 t=432
ju zai 	聚在	c=1 d=1 t=343
jue ce 	決策	c=1 d=1 t=79
jue de 	覺得	c=1 d=1 t=1680
jue dui 	絕對	c=1 d=1 t=318
jun gao 	均高	c=1 d=1 t=2100
ka zhu 	卡住	c=1 d=1 t=2269
kai shi 	開始	c=3 d=1.30128 t=1836
kai zhang 	開張	c=3 d=0.928285 t=2079
kan 	看	c=3 d=2.05179 t=1145
kan cuo 	看錯	c=1 d=1 t=2064
kan dao 	看到	c=1 d=1 t=1793
kan kan 	看看	c=1 d=1 t=2028
kan ni 	看你	c=0 d=0.1 t=2335
kan ni fang bian 	看你方便	c=1 d=1 t=2336
kan xue xiao 	看學校	c=1 d=1 t=930
kan zhe 	看着	c=1 d=1 t=602
kang de 	康德	c=2 d=1.95123 t=326
kao he 	考覈	c=2 d=1.03678 t=1859
kao he biao zhun 	考覈標準	c=1 d=1 t=937
kao lv 	考慮	c=10 d=3.4777 t=1670
kao shi 	考試	c=2 d=1.97045 t=625
ke 	可	c=3 d=1.03375 t=1974
